Term,Abbreviation
side countersunk,CTSK
countersunk head,CSKH
counterweight,CTWT
county,CTY
coupler,CPLR
coupling,CPLG
course deviation indicator,CDI
cradle,CRDL
crankcase,CRKC
crankshaft,CSHAFT
crash position indicator,CPI
crating,CTG
credit,CR
crescent,CRSCNT
crimp,CRP
critical application item,CAI
critical design review,CDR
critical flicker frequency,CFF
critical safety item,CSI
critical safety process,CSP
cross bracing,XBRA
cross section,XSECT
crossarm,XARM
crossbar,XBAR
crossbar tandem,XBT
cross-connection,XCO
cross-connection,XCONN
cross-country,XCY
crosshair,XHAIR
crosshead,CRSHD
crossing,XING
crossover,CRSVR
cross-point,XPT
crowfoot,CRWFT
cruise control,CRCONT
cruising,CRUIS
cryogenics,CRYOG
cryptograph,CTGH
cryptography,CRYPTO
crystal,XTAL
crystal oscillator,XTLO
crystalline,CRYST
cubic,CU
cubic boron nitride,CBN
cubic feet per minute,CFM
cubic feet per second,CFS
cubic foot,CUFT
cubic inch,CUIN
cubic meter,CUM
cubic millimeter,CUMM
cubic yard,CUYD
cubicle,CUB
culvert,CULV
cumulative,CUM
cupboard,CUP
current,CUR
current scroll fuel system,CSFS
current source,IGEN
current transformer,CT
curtain,CURT
curve,CRV
curve drawing,CRVDWG
cushioning,CSHG
cushion,CUSH
cushion hitch,CH
customer,CUST
cut stone,CUTS
cutlery,CTLRY
cutter,CTR
cutting,CTG
cyanide,CYN
cycle,CY
cycle per second,CS
cyclonite,RDX
cyclotron,CYCLO
cylinder,CYL
cylinder lock,CYLL
cylindrical,CYL
cylindrical cartridge,CYLCART
damper,DMPR
damping,DPG
dampproofing,DP
dashpot [relay],DP
data base update time,DBUT
data line translator,DLT
data link,DL
data list,DL
data management,DMGT
data processing machine,DPM
data recording,DRCDG
data reduction,DRDCN
data scanning and routing,DSR
data terminal equipment,DTE
data transmitting equipment,DXE
dated,DTD
datum,DAT
datum reference frame,DRF
daughterboard,DTRBD
daylight,DL
daylight opening,DLO
dead light,DL
dead load,DL
dead reckoning,DR
dead reckoning analyzer,DRA
dead reckoning equipment,DRE
dead reckoning indicator,DRI
dead reckoning tracer,DRT
dead reckoning trainer,DRTR
deadweight,DWT
deaerating,DEARTG
deaerating feed tank,DFT
dealer,DLR
decade scaler,DS
decalcomania,DECAL
decanning scuttle,DS
decarbonization,DECARB
decay time,DT
decelerate,DCLR
December,DEC
decibel,DB
decimal,DEC
decision,DECN
deck drain valve,DDV
deck edge,DKE
deck edge light,DELT
deck piercing,DP
deck surface light,DSLT
deckhouse,DKHSE
declutch,DCLU
decode,DCD
decoder,DCDR
decompression,DECOMPN
decontamination,DECONTN
decrease,DECR
decrement,DECRT
dedendum,DED
deep tank,DT
deep underwater nuclear counter,DUNC
deep-drawn,DD
deep-space instrumentation facility,DSIF
defective,DEF
defense,DEF
Defense Federal Acquisition Regulation Supplement,DFARS
Defense Logistics Information Services,DLIS
deficiency in allowance,DIA
definite time,DEFT
definite-time relay,DTR
definition,DEF
deflating,DFL
deflect,DEFL
deflection plate,DP
deflector,DFTR
defogging,DF
defrost,DFR
degasifier,DGSFR
degaussing,DEGUSG
degaussing compass,DCMPS
degaussing computer,DCMPTR
degaussing system,DGS
degrease,DGR
degree,DEG
dehumidify,DHMY
dehydrator,DYHR
deicing,DI
delay,DLY
delay line,DL
delayed automatic gain control,DAGC
delayed automatic volume control,DAVC
delete,DELE
delete,DEL
delineation,DEL
delivery,DLVY
delta amplitude,DA
deluxe,DLX
demagnetize,DMGZ
demagnetizer,DMTZR
demand indicator,DI
demand meter,DM
"demand meter, printing",DP
demand-totalizing relay,DTR
demineralizer,DMNRLZR
demodulator,DEMOD
demodulator band filter,DBF
demolition,DML
demountable,DMOUNT
demultiplexer,DMUX
denatured,DNTRD
denote,DEN
dense flint,DF
density,DENS
dental,DNTL
dental amalgamator,DAMLG
dental suction apparatus,DISCAPRS
department,DEPT
Department of Defense,DoD
Department of Defense Activity Address Code,DODAAC
Department of Defense Single Stock Point,DoDSSP
Department of Transportation,DOT.
deposit,DEP
depot installed,DEPINST
depression,DEPR
depth,DP
depth (of ship),D
depth charge,DC
depth deviation indicator,DDI
depth keeping,DKPG
derivative,DERIV
dermatine,DER
derrick,DRK
desalter,DSLTR
describe,DESCR
description,DESCP
descriptor attribute matrix,DAM
desensitize,DSNTZ
desiccant,DSCC
design,DSGN
design activity,DA
design activity identification,DAI
design control,DESCONT
design specification,DSPEC
designation,DES
designator,DES
designed waterline,DWL
designer,DES
"desk, combination flat top and typewriter",FTTW
"desk, double-pedestal flat top",DPFT
"desk, double-pedestal typewriter",DPTW
"desk, single-pedestal flat top",SPFT
"desk, single-pedestal typewriter",SPTW
destination,DESTN
destroyer antisubmarine transportable array detection,DASTARD
destructive firing,DESTRFIR
destructive readout,DRO
destructor,DESTR
desuperheater,DSUPHTR
detached,DTCH
detail,DET
detector,DET
detector back bias,DBB
detent,DTT
detention,DETN
determinant,DET
determination,DETN
detonator,DET
develop,DVL
developed length,DEVLG
development,DEV
deviate,DEV
deviation,DEVN
deviation equalizer,DEVEQL
device,DVC
device under test,DUT
dew point,DP
dewatering,DEWTRG
diagnostic,DIGN
diagonal,DIAG
diagram,DIAG
diagrammatic,DIAGR
dial illumination,DLILMN
dial indicating,DLINDG
dial lock,DLOCK
diallyl phthalate,DIALPHTH
diameter,DIA
diameter bolt circle,DBC
diametral pitch,DP
diamond,DMD
diamond-pyramid hardness,DPH
diaphragm,DIAPH
diaphragm gland,DGLD
diazo print,DPR
die lock,DLX
die template,DT
dielectric,DIEL
diesel,DSL
diesel belt drive,DBD
diesel direct,DD
diesel engine,DENG
diesel engine antifreeze coolant,DEAC
diesel engine oil,DEO
"diesel engine, direct drive",DED
"diesel engine, reduction drive",DER
diesel mechanical,DM
diesel oil,DO
diesel particulate filter,DPF
diesel V-belt drive,DVBD
diesel-electric,DE
diethanolamine,DEA
difference,DIFF
difference channel,DCHAN
differential,DIFF
differential amplifier,DIFA
differential pressure,DP
differential thermocouple voltmeter,DTVM
differential time relay,DIFFTR
diffraction,DIFFR
diffusing,DIFFUS
digital,DGTL
digital block AND-OR gate,DBAO
digital counting unit,DCU
digital differential analyzer,DDA
digital ignition system negative,DISN
digital microcircuit,DMC
digital product definition,DPD
digital voltmeter,DVM
digitally directed control,DDC
digital-to-analog,DA
digital-to-analog converter,DAC
digitizer,DGTZR
dihydrate,DIHY
dilute,DIL
dimension,DIM
dimmer,DMR
dining,DNG
diode,DIO
diode resistor transistor logic,DRTL
diode transistor logic,DTL
diopter,DIOPT
diplex,DIPX
diplexer,DIPLXR
dipstick,DPSK
direct,DIR
direct acting,DACT
direct acting steam,DAS
direct connect,DIRCONN
direct current,DC
direct current linkage,DCLKG
direct distance dialing,DDD
direct drive,DDR
direct electric,DIRELEC
direct injection,DIRINJ
direct inward dialing,DID
direct memory access,DMA
direct noise amplification,DINA
direct operated,DIROPR
direct outward dialing,DOD
direct-coupled transistor logic,DCTL
direction,DIR
direction finder,DF
directional,DIR
directional coupler,DIRCOUP
directional filter,DIRFLT
directly,DRCTY
director,DIR
disable,DSBL
disassemble,DISASSM
disassembly,DISASSY
discarding sabot,DS
discharge,DISCH
disconnect,DISC
disconnect switch,DS
disconnecting device,DD
discontinue,DSCONT
discrete Fourier transform,DFT
discriminator,DSCRM
disengaging,DSENGA
dish rinsing,DSHR
dishwasher,DW
disk grind,DG
disk operated system,DOS
disk storage unit,DSU
dismantle,DISM
dispatcher,DISP
dispensary,DISP
dispenser,DISP
dispensing,DSPNSG
displacement,DISP
display,DSPL
display and control unit,DCU
display and storage,DS
disposal,DSPL
disposition,DISPN
dissipation factor,DF
dissolved,DISLVD
dissolved oxygen,DO
distance,DIST
distance-measuring equipment,DME
distant,DIST
distant early warning,DEW
distill,DSTL
distillate,DSTLT
distilled water,DW
distinguish,DISTING
distortion,DISTN
distress,DTRS
distribute,DISTR
distributed emission magnetron amplifier,DEMA
distribution amplifier,DAMP
distribution box,DB
distribution panel,DPNL
distributor,DISTR
district,DIST
dither,DTER
ditto,DO
diver,DVR
divertor,DIV
divide,DIV
division,DIV
do not use,DNU
docking,DCKG
document,DOC
does not apply,DNA
dogged,DG
dolly,DLY
domestic,DOM
domestic service,DS
dominant wavelength,DWL
door closer,DCL
door stop,DST
door switch,DSW
Doppler velocity and position,DOVAP
dots per inch,DPI
double,DBL
double bottom,DB
double break,DB
double contact,DC
double density,DD
double end,DE
double extra strong,XXSTR
double face,DBLF
double feeder,DF
double flange,DFLG
double secondary current transformer,DSCT
double sided,DS
double single-sideband,DSSB
double weight,DW
double-acting,DBLACT
double-acting door,DAD
double-acting steam,DASTM
double-based solid propellant,DBSP
double-biased [relay],DB
double-groove [insulators],DG
"double-groove, double- petticoat [insulators]",DGDP
double-hung windows,DHW
double-pole,DP
"double-pole, back-connected",DPBC
"double-pole, double-throw",DPDT
"double-pole, double-throw switch",DPDTSW
"double-pole, front-connected",DPFC
"double-pole, single-throw",DPST
"double-pole, single-throw switch",DPSTSW
double-pole switch,DPSW
doubler,DBLR
double-sideband,DSB
double-throw,DT
double-wall,DBLW
double-wall fiberboard,DWLFBD
Douglas fir,DF
dovetail,DVTL
dowel,DWL
down,DN
down solenoid,DOWNSOL
downdraft,DNDFT
downspout,DS
dozen,DOZ
draft,DFT
draft stop,DS
drafting,DFTG
drafting machine,DFMACH
drafting request,DR
drafting room manual,DRM
draftsman,DFTSMN
drain,DR
drain tile,DT
dram,DR
draw out,DO
drawbar pull,DBP
drawer,DWR
drawing,DWG
drawing change notice,DCN
drawing list,DL
drawn,DWN
dredger,DRGR
dressed [lumber],DRS
dressed and matched,DM
dresser,DRSR
dressing,DRSG
drift,DFT
drill,DR
drill jig,DJ
drill plate,DP
drill rod,DR
drinking fountain,DF
drip proof,DP
drip proof and ratproof,DPRP
drip proof open,DPO
drip proof protected,DPP
drip proof semi-enclosed,DPS
"drip proof, totally enclosed",DPT
drip tank,DRTA
drive,DR
drive end,DE
drive fit,DF
drive unit,DRU
driver,DRVR
drone [aircraft],Q
drop forge,DF
drop hammer die,DHD
drop manhole,DMH
drop wood siding,DWS
dry battery,DP
dry bulb,DB
dry chemical,DCHEM
dry dock,DD
dry pipe valve,DPV
drying,DYG
dual fuel,DF
dual in-line package,DIP
dual tires,DT
dual-purpose,DP
dual-speed drive,DSD
duct type,DCTP
ductile,DCTL
dull black finish slate,DBFS
dumbwaiter,DW
dumbwaiter door,DWD
dummy,DUM
dumping,DMPG
Dun & Bradstreet Data Universal Numbering System,DUNS
duplex,DX
duplexer,DPLXR
duplicate,DUP
dust and moisture,DUMR
dust-tight,DT
dutch door,DD
duty cycle,DTYCY
dwelling,DWEL
dynamic,DYN
dynamic breaking,DYB
dynamic octal load,DOL
dynamic random access memory,DRAM
dynamite,DYNMT
dynamo,DYN
dynamometer,DYNMT
dynamotor,DYNM
each face,EF
each layer,EL
each way,EW
early inlet closing,EIC
ebony asbestos,EBASB
eccentric,ECC
eccentric orbit geophysical observatory,EGO
echelon,ECH
echo ranging,ER
echo sounding,ES
economize,ECON
edge of cutter,EOC
edge of ply,EOP
edge of ply material,EOPM
edge thickness,ET
edgewise,EDGW
education,EDUC
educator,EDUC
eductor,EDUC
effect,EFT
effective,EFF
effective diameter of objective,EDO
effective focal length,EFFL
efficiency,EFF
effluent,EFL
ejection,EJN
ejection seat,EJNST
ejector,EJCTR
elapsed time,ET
elapsed-time code generator,ETCG
elastic,ELAS
elastic limit,EL
elasticity,ELAS
elbow,ELB
electric,ELEC
electric contact,ELCTC
electric contact brush,ELCTCBR
electric contact ring,ELCTRG
electric discharge tube,EDT
electric drive,ELECDR
electric dynamometer,EDYNMT
electric power and distribution,EPD
electric power supply,EPS
electric starting,ELECSTG
electric water cooler,EWC
electrical discharge machining,EDM
electrical metallic tubing,EMT
electrical resistance,ER
electrical specification,ESPEC
electrical time,ET
"electrical time, superquick",ETSQ
electrically erasable programmable read-only memory,EEPROM
electrically operated valve,ELV
electrically polarized [relay],EP
electric-motor driven,EMD
electrocardiogram,ECG
electrocardiograph,ECG
electrochemical diffused collector,ECDC
electrode,ELCTD
electroencephalogram,EEG
electroencephalograph,EEG
electrogasdynamics,EGD
electrohydraulic,ELHYD
electroluminescent,EL
electroluminescent photoconductive,ELPC
electrolyte,ELCTLT
electrolytic,ELCTLT
electromagnetic,EM
electromagnetic compatibility,EMC
electromagnetic intelligence,EMINT
electromagnetic interference,EMI
electromagnetic wave amplification by stimulated emission of radiation,EWASER
electromechanical,ELMCH
electromotive force,EMF
electron,ELCTRN
electron (n)-type semiconductor material,
electron-coupled oscillator,ECO
electronic,ELEK
electronic automatic exchange,EAX
electronic checkout,ECO
electronic control,ELECTC
electronic counter-countermeasures,ECCM
electronic countermeasures,ECM
electronic countermeasures environment,ECME
electronic countermeasures program,ECMP
electronic data processing,EDP
electronic differential analyzer,EDFA
electronic digital analyzer,EDA
electronic funds transfer,EFT
electronic intelligence,ELINT
electronic interface,EI
electronic monitoring system,ELECMS
electronic private branch exchange,EPBX
electronic standard,ESTD
electronic switching,ES
electronic switching system,ESS
electronic voltmeter,EVM
electronic voltohmmeter,EVOM
electronic warfare,EW
electronically alterable read-only memory,EAROM
electronically steerable array radar,ESAR
electronically steerable phased array radar,ESPAR
electronics,ELEX
electro-optical light modulator,EOLM
electroplate,EPL
electropneumatic,ELPNEU
electrostatic,ES
electrostatic discharge,ESD
electrostatic discharge resistive,ESOS
electrostatic discharge sensitive,ESDS
electrostatic sensitive,ESS
electrostatic sensitive device,ESD
electrostatic storage tube,EST
element,ELEM
elementary,ELEM
elevate,ELEV
elevating scraper,ELVSCPR
elevation,EL
elevator,ELEV
eliminate,ELIM
elliptical,ELP
elliptical fillet,EP
elliptical head,ELPH
elongate,ELNG
elongation,ELONG
embedded wiring board,EWB
emboss,EMB
emergency,EMER
emergency coolant system,ECS
emergency decelerating [relay],EDE
emergency identification light,EIDLT
emergency power,EPWR
emergency power supply,EMPS
emergency room,ER
emergency ship service,ESS
emission,EMSN
emitter,EMTR
emitter [electron device],E
emitter follower,EF
emitter-coupled current-steering logic,ECCSL
emitter-coupled logic,ECL
empennage,EMP
employee,EMPL
emulator,EMU
emulsion,EMUL
enable,ENBL
enamel,ENAM
encapsulation,ENCAP
encased,ENCSD
enclose,ENCL
enclosure,ENCL
encode,ENCD
encoder,ENCDR
end cell switch,ECSW
end half,EHF
end of part,EOP
end of tape,EOT
end of transmission [computers],EOT
end to end,EE
endless tangent screw,ETS
endstone,ESTN
energize,ENRGZ
energy,ENGY
engage,ENGA
engaging,ENGA
engine,ENG
engine drive,ED
engine negative torque control,ENTC
engine oil,EO
engine oil pressure,ENGOILPR
engine order,EOR
engine propeller order,EPO
engine room,ENGRM
engine shipping order,ESO
engine V-belt,ENGV
engineer,ENGR
engineering,ENGRG
engineering change,EC
engineering change notice,ECN
engineering change order,ECO
engineering change proposal,ECP
engineering change request,ECR
engineering department sketch,EDSK
engineering field change,EFC
engineering manufacturing authorization,EMA
engineering notice,EN
engineering order,EO
engineering release notice,ERN
engineering release record,ERR
engineering sketch,ESK
engineering support activity,ESA
engineering work order,EWO
English,ENG
engrave,ENGRV
enlarge,ENLG
enlarged,ENLGD
enterprise identifier,EID
enlisted men,EM
entrance,ENTR
enumeration,ENUM
envelope,ENV
environment,ENVIR
environmental,ENVIR
environmental impact,ENI
environmental stress screening,ESS
epitaxial mesa,EM
epitaxial planar,EP
equal,EQL
equal section,ES
equalizer,EQL
equally,EQL
equally spaced,EQLSP
equation,EQ
equilibrium,EQUIL
equip and install,EI
equipage category number,ECN
equipment,EQPT
equipment and spare parts,ESP
equipment condition analysis,ECA
equivalent,EQUIV
equivalent airspeed,EAS
equivalent direct radiation,EDR
equivalent focal length,EQFL
equivalent series resistance,ESR
equivalent noise sideband input,ENSI
erasable programmable read-only memory,EPROM
erased,ERS
erecting,ERCG
erection,ERECT
erector,ERCR
error correction,ERRC
error correction code,ECC
escape,ESC
escutcheon,ESC
especially,ESP
establish,ESTAB
estimate,EST
estimated completion date,ECD
et cetera,ETC
ethylene oxide,EO
evacuate,EVAC
evacuator,EVAC
evaluate,EVAL
evaluation,EVLTN
evaporate,EVAP
evaporator,EVAP
ever-lock,EVRLK
examination,EXAM
example,EX
excavate,EXC
excellent,EXC
except,EXC
excessive,EXCSV
exchange,EXCH
excitation,EXC
exciter,EXCTR
exclusive,EXCL
execute,EXEC
executive,EXEC
exercise,EXER
exhaust,EXH
exhaust gas recirculation,EGR
exhaust gas temperature,EGT
exhaust valve actuator,EVA
exhaust vent,EXHV
exhibit,EXH
existing,EXST
exit guide vane,EGV
expand,EXP
expanded binary-coded decimal interchange code,EBCDIC
expanded direct distance dialing,EDDD
expanded metal,EM
expansion,EXP
expansion joint,EXPJT
expedite,EXPED
expendable,EXPEN
expense,EXP
experiment,EXP
experimental,EXP
experimental order,EXPO
experimental testing [aircraft],X
explanation,EXPL
explode,EXPLD
exploitation,EXPLTN
explosion,EXPLN
explosion-proof,EP
explosive,XPL
explosive device,XPLD
explosive ordnance disposal,EOD
exponent,EXPNT
exponential,EXPNT
exposed,EXP
exposure,EXPSR
express,EXP
expulsion,EXP
extended life coolant,ELC
extender,EXTND
extension,EXT
exterior,EXT
external,EXT
external pipe thread,EPT
extinguish,EXT
extinguisher,EXTG
extra,EX
extra control wire,ECWIRE
extra fine [threads],EF
extra heavy,XHVY
extra strong,XSTR
extracting,EXTG
extractor,EXTR
extra-long wheel base,XLWB
extraordinary wave,XWAVE
extreme,EXTM
extreme high water,EHW
extreme low water,ELW
extremely high frequency,EHF
extremely low frequency,ELF
extrude,EXTD
extrusion,EXTRN
extrusion trim and drill template,ETDT
extrusion trim template,ETT
eye guard,EGRD
eye lens,EL
eyelet,EYLT
eyepiece,EYPC
fabrication,FAB
face or field of drawing,FD
face to face,FF
face width,FW
faceplate,FP
facility,FACIL
facing,FCG
facsimile,FAX
factor,FAC
factory,FCTY
factual complier,FACT
Fahrenheit,F
failure,FLR
failure rate,FR
fairing,FAIR
fairlead,FRLD
fairwater planes,FWPLN
familiar,FAM
fan in,FNI
fan out,FNO
far side,FS
fast automatic shuttle transfer,FAST
fast Fourier transform,FFT
fast operate [relay],FO
fast release [relay],FR
fast time constant,FTC
fastener,FSTNR
fault,FLT
fault isolation test,FIT
feasible,FSBL
feather,FTR
February,FEB
federal,FED
Federal Specification,FS
Federal Stock Number,FSN
Federal Supply Catalog Identification List,FSCIL
Federal Supply Code for Manufacturers,FSCM
feedback,FDBK
feedback positive,FP
feedback potentiometer,FPOT
feedback resistance,FBR
feeder,FDR
feedwater,FDW
feedwater pump,FWP
feeler,FELR
female,FEM
female flared,FFL
female pipe thread,FPT
female soldered,FS
female thread,FTHRD
fender,FND
ferrule-contact,FERCON
fiber,FBR
fiberboard,FBRBD
"fiberboard, corrugated",FBDC
"fiberboard, double wall",FDWL
"fiberboard, solid",FBDS
fiberglass,FBRGL
fibrous,FBRS
field,FLD
field accelerator,FAC
field artillery,FA
field decelerator,FDE
field discharge,FDI
field dynamic braking,FDB
field failure,FFL
field forcing [decreasing],FFD
field forcing [increasing],FFI
field manual,FM
field programmable gate array,FPGA
field protective,FP
field reversing,FR
field service,FS
field service modification work order,FSMWO
field support equipment,FSE
field switch,FSW
field weakening,FWK
field-effect transistor,FET
fighter [aircraft],F
figure,FIG
filament,FIL
filament center tap,FCT
filament ground,FG
file cabinet,FC
file finish,FF
filler,FLR
fillet,FIL
filling,FILL
fillister,FIL
fillister head,FILH
film processing,FLMPRS
film sound,FLMSD
filter,FLTR
filter (comb form),FL
final assembly,FA
final drive,FDR
final drive and axle oil,FDAO
"final limit, down",FLDO
"final limit, forward",FLF
"final limit, hoist",FLH
"final limit, lower",FLL
"final limit, reverse",FLR
"final limit, up",FLU
find number,FN
finder,FDR
finger,FGR
finish,FNSH
finish all over,FAO
finish one side,F1S
finish specification [number],FS
finish two sides,F2S
fin-stabilized,FS
fire alarm bell,FABL
fire alarm box,FABX
fire and bilge,FB
fire and flushing,FF
fire control,FC
fire control system,FCS
fire department connection,FDC
fire door,FDR
fire extinguisher,FEXT
fire fighting,FF
fire hose,FH
fire hose cabinet,FHC
fire hose rack,FHR
fire hydrant,fhy
fire main,FM
fire plug,FPL
fire room,FRM
fire station,FS
fire wall,FW
firebrick,FBCK
fireclay,FC
fireplace,FP
fireproof,FPRF
fire-resistant,FRES
fire-resistant fluid,FRESFL
firmware,FMW
first-aid box,FAB
first-in-first-out,FIFO
fiscal year,FY
fish paper,FPPR
fission,FSSN
fitted,FTD
fitting,FTG
fixed,FXD
fixed autotransformer,FATR
fixed point,FXP
fixed transom,FTR
fixture,FXTR
flag note (number),FL
flagstaff,FLGSTF
flagstone,FLGSTN
flame,FLM
flame resistant,FLMRES
flame retardant,FLMRTD
flameproof,FLMPRF
flame-tight,FLMTT
flammable,FLMB
flange,FLG
flange focal distance,FD
flapper,FLPR
flared,FLRD
flared tube fitting,FTF
flared tube fitting gasket seal,FTFGS
flaring,FLRG
flash welding,FLW
flashing,FL
flashless,FLHLS
flashless nonhygroscopic,FNH
flashlight,FLT
flat bar,FB
flat fillister head,FFILH
flat head,FLH
flat head socket cap screw,FHSCS
flat nose [projectile],FN
flat oval,FO
flat pattern,F/P
flat point,FP
flat tile roof,FTR
flat trim template,FTT
flat washer,FLW
flat work,FLWK
flat-band metallic armor [insul],F
flatten,FLN
fleet ballistic missile,FBM
flexible,FLEX
flexure,FLEX
flight,FLT
flight control ready light system,FCRLS
flight data entry,FLIDEN
flight deck,FLDK
flight space,FLSP
flint,F
flip-flop,FF
flip-flop complementary,FFC
flip-flop latch,FFL
float,FLT
floating,FLTG
floating commutator,FLOCOM
floating machine shop,FMS
floating-point instruction set,FIS
flood [vent],FL
flooding,FLDNG
floodlight,FLDT
floor,FL
floor drain,FD
floor line,FL
flooring,FLG
floppy disc,FD
flotation,FLOT
flow control,FCONT
flow line,FLL
flow rate,FLRT
flow switch,FLSW
fluid,FL
fluid flow,FDFL
fluid pressure line,FDPL
fluked,FLKD
fluorescent,FLUOR
fluorescent penetrant inspection,FPI
flurry,FLRY
flush,FL
flush armor balance watertight hatch,FABWH
flush metal threshold,FMT
flush mount,FLMT
flush oiltight ventilation hole,FOVH
flush threshold,FT
flush type,FLTP
flush value,FV
flute lead,FL
fluted,FLTD
fluted socket,FLUSOC
fluted socket head,FLUSOCH
flutter,FLUT
flux logic element array,FLEA
flyweight,FLYWT
flywheel,FLYWHL
foam liquid,FOLQ
focal,FOC
focal length,FL
focus,FOC
focusing,FCSG
fog foam,FOFM
fog oil smoke generator,FOSGEN
foggy,FGY
folding,FLDG
folding-fin aircraft rocket,FFAR
foldout,FO
follow,FOL
following,FF
follow-up,FLWP
food service,FDSVC
foot,FT
foot board measure,FBM
foot per minute,FPM
foot per second,FPS
foot pound force,FTLB
foot-candle,FC
footing,FTG
footlambert,fL
foot-pound-second,FPS
for example,EG
for your information and guidance,FYIG
force,F
forced-draft,FD
forced-draft blower,FDB
fore and aft,FA
forecastle,FCSLE
foreign object damage,FOD
foreign service,FS
foreman,FMAN
forepeak,FP
foresight,FS
forged,FGD
forged steel,FST
forging,FORG
forked,FKD
form block template,FBT
formation,FORM
former,FRMR
formula,FORM
formula translation,FORTRAN
forward,FWD
forward ballast tank,FBT
forward engine room,FER
forward perpendicular,FP
forward propagation tropospheric scatter,FPTS
foundation,FDN
foundry,FDRY
four-conductor,4/C
four-dimensional,4D
four-pole,4P
"four-pole, double-throw switch",4PDTSW
"four-pole, single-throw switch",4PSTSW
four-pole switch,4PSW
four-stage,4STG
fourth stage,4STG
four-way,4WAY
four-wire,4WAY
foyer,FOY
fractional,FRAC
fragment,FRAG
fragmentation,FRAG
frame,FR
frame synchronization word,FSW
framework,FRWK
free aperture,FA
free fork height,FFH
free height,FRHGT
free on board,FOB
free wheeling stator,FWS
freeboard,FREEBD
free-cutting brass,FCB
free-machining steel,FMS
freezer,FRZR
freezing point,FP
freight,FRT
freight supply [vessel],FS
french fry,FRFY
frequency,FREQ
frequency (comb form),F
frequency changer,FREQCHG
frequency converter,FREQCONV
frequency division,FD
frequency division multiplex,FDM
frequency doubler,FDBLR
frequency interference control,FIC
frequency meter,FREQM
frequency modulated radar,FMR
frequency modulation,FM
frequency of optimum operation,FOT
frequency time indicator,FTI
frequency tracker,FT
frequency-shift keying,FSK
fresh water,FW
fresh water drain collecting tank,FWDCT
fresh water pump,FWP
friction,FRICT
fringe,FRNG
from below,FRBEL
front,FR
front connection,FC
front end,FRTN
front focal length,FFL
front of board,FOB
front of dash,FD
front shovel,FS
front upset jaw,FUJ
front vertex back focal distance,FVD
front view,FV
front wheel assist,FWA
front-connected,FC
frozen storage,FZSTO
fuel and defueling,FDF
fuel indicator reading,FIR
fuel injection line,FIL
fuel injection pump,FIP
fuel line,FLN
fuel oil,FO
fuel oil pump,FOP
fuel pressure,FPR
fuel pump,FP
fuel ratio control,FRC
fuel service nozzle,FSN
fuel tank,FTK
fuel transfer pump,FTP
fuel-air ratio,FARATIO
fueling,FLNG
fueling-at-sea,FAS
fuel-oil transfer,FOT
fulcrum,FUL
full dog point,FDP
full duplex teletype,FDTT
full field,FF
full free lift,FFL
full free triple lift,FFTL
full hard,FH
full indicator movement,FIM
full indicator reading,FIR
full load,FLLD
full scale,FSC
full size,FS
full voltage,FV
full wave,FW
full-load amperes,FLA
fully automatic compiler translator,FACT
fully heat-treated,FHT
fully tapered and polished,FTP
fumes,FMS
fumetight,FT
function,FCTN
functional configuration audit,FCA
functional electronic block,FEB
functional schematic,FS
functional test,FT
functional test requirement,FTR
fundamental,FUND
fungus proof,FP
funnel,FUNL
furnace,FUR
furnish,FURN
furniture,FURN
fuse block,FB
fuse box,FUBX
fuse holder,FUHLR
fuselage,FUSLG
fuselage station,FS
fusible,FSBL
fusible cutout,FSBLCUT
fusion point,FNPT
future,FUT
fuze,FZ
gage board,GABD
gage code number,GCN
gain time control,GTC
gallery,GALL
galley,GALY
gallon,GAL
gallon per hour,GPH
gallon per minute,GPM
gallon per second,GPS
galvanic,GALV
galvanize,GALV
galvanized iron,GALVI
galvanized steel,GALVS
galvanized-steel-wire rope,GSWR
galvannealed,GALVND
galvanometer,GALVNM
gamma scintillation system,GSS
gang punch,GP
gap-filler data,GFD
garage,GAR
garbage,GBG
"garbage in, garbage out",GIGO
garboard,GARBD
garnish molding,GMLDG
garter,GTR
gas admission valve,GAV
gas amplification,GA
gas ejection,GE
gas operated,GOPR
gas safety,GS
gas start,GST
gas turbine,GTRB
gas turbine compressor,GTC
gas weld,GASW
"gas, nonpersistent",GNP
"gas, persistent",GP
gaseous mixture,GM
gaseous oxygen,GOX
gasifier,GASFR
gasket,GSKT
gasoline,GAS
gasoline engine,GENG
"gasoline engine, close-coupled",GECC
gasoline engine driven,GED
gasproof,GPF
gastight,GT
gate [electron device],G
gate turnoff,GTO
gate valve,GTV
gear oil,GRO
gear rack,GRK
gear shaft,GRSHFT
gearbox,GRBX
gearcase,GRC
gearing,GRG
gearshift,GRSH
general,GENL
general contractor,GENCONT
general note (number),GN
general operational requirement,GOR
general plant equipment requirements,GPER
general purpose,GP
General Services Administration,GSA
Generalized Information Retrieval and Listing System,GIRLS
generated rotor,GRTR
generation,GEN
generator,GEN
generator field,GFLD
geological,GEOL
geomagnetism,GEOMAG
geometric dilution of precision,GDOP
geometric dimensioning and tolerancing,GD&T
geometric mean,GM
geometry,GMTRY
German silver,GSIL
gimbal,GMBL
girder,G
glass,GL
glass block,GLB
glaze,GLZ
glazed facing unit,GFU
glazed structural facing unit,GSFU
glazed structural unit base,GSUB
glazed structural units,GSU
glazed wall tile,GWT
glazed wall tile base,GWTB
glazed wallboard,GLWB
glide angle,GA
glide slope,GLS
glider,GLI
